player_name,season,expected_goals,actual_goals,expected_assists,actual_assists
Divock Origi,2016-2017,5.523564676754177,7,1.602315817028284,3
James Milner,2016-2017,7.355007588863373,7,3.95104325003922,3
Wilfried Zaha,2016-2017,5.5702579310163856,7,4.54127433244139,9
Andy Carroll,2016-2017,4.521654654294252,7,1.721797967329621,1
Etienne Capoue,2016-2017,3.717310607433319,7,1.509295605123043,1
Raheem Sterling,2016-2017,8.106001383624971,7,5.496263796463609,6
Nathan Redmond,2016-2017,4.817707696929574,7,5.891833748668432,1
Peter Crouch,2016-2017,5.874592637643218,7,3.203837755136192,2
Islam Slimani,2016-2017,6.82391251809895,7,2.0667083468288183,4
Robert Snodgrass,2016-2017,4.38358767144382,7,4.324670488014817,5
Gabriel Jesus,2016-2017,7.243859618902206,7,1.890665166079998,4
Kevin De Bruyne,2016-2017,6.771996598690748,6,15.88864896632731,18
Callum Wilson,2016-2017,5.365591797977686,6,0.550071083009243,0
Joe Allen,2016-2017,5.681928787380457,6,4.653246657922864,2
Juan Mata,2016-2017,5.6651326939463615,6,4.540481215342879,3
Gary Cahill,2016-2017,3.297440253198147,6,0.17101848125457764,0
Leroy Fer,2016-2017,5.205665294080973,6,1.055048357695341,2
André Ayew,2016-2017,7.654202967882156,6,2.366946253925562,3
Riyad Mahrez,2016-2017,8.95081671886146,6,6.2482471615076065,3
Georginio Wijnaldum,2016-2017,5.565248823724687,6,5.296918980777264,9
Gareth McAuley,2016-2017,3.6915690898895264,6,0.3782481737434864,1
Benik Afobe,2016-2017,8.921733126044273,6,1.8278377754613755,3
Charlie Austin,2016-2017,6.6213426403701305,6,1.6202985644340515,1
Marko Arnautovic,2016-2017,9.196288883686066,6,7.129755564965308,5
Marcos Alonso,2016-2017,4.146676734089851,6,3.1470432318747044,3
Ashley Barnes,2016-2017,6.5921545177698135,6,2.387533933855593,2
Leroy Sané,2016-2017,5.8207272328436375,5,5.704548614099622,3
Marcus Rashford,2016-2017,6.274294052273035,5,1.9918221160769465,1
Ross Barkley,2016-2017,6.935660857707262,5,7.259017596021295,8
Emre Can,2016-2017,3.214385723695159,5,2.0903314612805843,2
Wayne Rooney,2016-2017,7.070015042088926,5,3.005505595356226,5
James McArthur,2016-2017,1.698102816939354,5,2.348688531666994,3
Nacer Chadli,2016-2017,5.8100772481411695,5,4.269453098997474,5
Cesc Fàbregas,2016-2017,2.809537671506405,5,7.84881329908967,12
Patrick van Aanholt,2016-2017,3.478316295892,5,2.1377700809389353,1
Jay Rodriguez,2016-2017,4.763502933084965,5,0.5137141291052103,2
Yaya Touré,2016-2017,3.702670441940427,5,1.1150564663112164,0
James Morrison,2016-2017,2.478534383699298,5,1.3765207678079605,2
Michy Batshuayi,2016-2017,3.764822266995907,5,0.02794437669217586,1
Paul Pogba,2016-2017,6.505610935389996,5,5.589778687804937,4
Henrikh Mkhitaryan,2016-2017,2.7058527544140816,4,3.5242763245478272,1
Charlie Daniels,2016-2017,1.6076876800507307,4,2.165623553097248,3
Yohan Cabaye,2016-2017,3.4254370387643576,4,2.8885228633880615,3
Anthony Martial,2016-2017,3.311827577650547,4,3.6707763336598873,6
Seamus Coleman,2016-2017,1.3783674584701655,4,2.760131038725376,3
Kevin Mirallas,2016-2017,3.5472985189408064,4,3.730523212812841,6
Oumar Niasse,2016-2017,3.604678399860859,4,0.807891234755516,1
David Silva,2016-2017,6.2415254805237055,4,8.119680380448699,7
Kelechi Iheanacho,2016-2017,4.739897482097149,4,2.534390851855278,3
Craig Dawson,2016-2017,2.965415614657104,4,1.0976498983800411,0
